date,amulet,potion,cloak,staff,scroll
2025-01-01,1207.28,52.71,507.40,1344.66,341.24
2025-01-02,1146.62,48.93,499.38,2389.42,686.14
2025-01-03,889.23,53.06,475.37,1867.67,1494.06
2025-01-04,607.75,49.28,438.05,2046.01,1016.96
2025-01-05,996.24,49.65,497.42,2643.03,1096.03
2025-01-06,817.12,48.62,505.18,2790.68,665.53
2025-01-07,970.84,47.48,542.43,1960.53,1028.24
2025-01-08,942.10,51.32,437.99,1569.35,1279.33
2025-01-09,1128.50,51.57,582.41,1760.88,1141.56
2025-01-10,901.56,50.61,600.63,2459.32,791.34
2025-01-11,1255.61,49.54,556.07,2232.01,1718.06
2025-01-12,922.48,57.44,528.09,1865.28,928.91
2025-01-13,948.95,52.10,455.25,1995.96,477.99
2025-01-14,1110.77,47.55,514.21,1757.98,875.34
2025-01-15,837.66,47.36,513.11,1913.99,665.81
2025-01-16,800.63,43.07,466.57,1604.58,764.58
2025-01-17,1024.61,52.17,536.31,1456.00,893.46
2025-01-18,1245.09,52.76,507.90,1118.39,1164.57
2025-01-19,955.75,51.39,529.95,2049.47,694.72
2025-01-20,683.86,42.51,482.65,2231.65,736.17
2025-01-21,633.19,55.91,499.07,1581.03,1021.16
2025-01-22,667.65,47.15,408.73,1687.37,1356.64
2025-01-23,1348.61,49.96,513.68,2324.21,1167.61
2025-01-24,1213.61,45.68,505.09,1740.05,909.84
2025-01-25,1014.77,59.58,510.81,2147.91,1636.90
2025-01-26,1101.61,53.00,547.68,2843.76,869.87
2025-01-27,931.39,52.93,492.64,2305.34,515.50
2025-01-28,1191.73,49.94,464.19,1920.95,1005.00
2025-01-29,1051.69,47.23,436.17,2558.17,851.67
2025-01-30,706.79,44.01,516.69,2040.33,906.48
2025-01-31,831.22,43.24,474.64,2087.82,708.82
2025-02-01,1200.15,45.70,441.72,1315.41,604.27
2025-02-02,828.88,55.32,526.56,1591.24,628.25
2025-02-03,774.96,47.35,515.86,1924.56,969.40
2025-02-04,842.21,53.05,522.74,2305.17,991.64
2025-02-05,1147.03,53.27,583.07,2222.09,1529.96
2025-02-06,679.85,44.45,505.88,1981.30,1120.46
2025-02-07,1477.86,54.34,544.40,2097.44,911.44
2025-02-08,933.95,42.41,551.26,1982.01,823.34
2025-02-09,976.67,58.62,402.90,2424.19,677.73
2025-02-10,1568.51,55.87,542.52,2651.16,1025.79
2025-02-11,1000.30,51.25,391.92,2441.78,1432.85
2025-02-12,1163.65,45.72,535.40,2586.68,771.07
2025-02-13,1009.58,55.84,492.65,3070.21,993.81
2025-02-14,1320.98,45.33,480.21,2845.28,926.14
2025-02-15,365.67,50.09,529.75,2031.45,957.00
2025-02-16,868.28,61.56,593.36,1696.11,1008.22
2025-02-17,1023.61,50.21,492.02,2234.70,808.22
2025-02-18,1067.73,53.68,425.77,1835.09,1223.25
2025-02-19,865.15,53.75,637.74,1455.36,432.80
2025-02-20,1015.56,37.53,426.39,2154.38,1197.87
2025-02-21,489.91,55.19,476.01,2251.05,1055.44
2025-02-22,919.75,43.92,546.31,901.06,1262.94
2025-02-23,1075.47,51.48,503.70,590.64,868.66
2025-02-24,893.35,50.86,523.81,2527.05,953.51
2025-02-25,619.26,40.38,397.43,1984.91,1156.81
2025-02-26,844.02,47.06,540.23,2592.31,985.52
2025-02-27,1326.60,47.04,522.49,1295.17,1239.68
2025-02-28,1335.99,49.73,529.75,2098.20,929.80
2025-03-01,903.05,48.64,491.18,2203.47,1413.00
2025-03-02,741.55,48.31,476.71,1367.18,1127.30
2025-03-03,1022.06,44.20,589.44,2151.79,1362.81
2025-03-04,671.02,50.03,442.12,1491.05,1182.09
2025-03-05,1110.92,53.01,517.29,2305.64,760.96
2025-03-06,1030.04,44.74,548.23,2286.91,1296.88
2025-03-07,1157.11,54.06,562.58,2283.79,737.97
2025-03-08,893.38,54.18,460.72,2358.75,773.75
2025-03-09,1221.11,46.02,559.45,1694.00,1145.38
2025-03-10,766.88,53.54,564.80,2118.90,750.93
2025-03-11,1070.04,48.23,490.71,1516.45,799.92
2025-03-12,822.60,53.62,487.14,1692.53,1345.85
2025-03-13,845.85,51.37,466.24,2250.15,1109.48
2025-03-14,739.04,57.85,480.36,1861.14,973.99
2025-03-15,1370.51,46.07,473.54,2800.88,1092.43
2025-03-16,1369.63,43.97,522.34,1923.99,963.59
2025-03-17,562.13,54.80,450.62,3237.73,1093.68
2025-03-18,753.28,49.15,503.32,1917.00,1089.63
2025-03-19,930.41,52.78,465.24,837.04,615.37
2025-03-20,1328.84,52.13,407.65,1951.68,756.43
2025-03-21,1052.42,52.62,451.29,1092.48,1082.48
2025-03-22,922.47,36.86,500.76,2754.69,985.93
2025-03-23,982.57,46.72,520.20,2175.21,926.04
2025-03-24,1078.41,48.36,408.68,2627.07,958.73
2025-03-25,1259.93,51.00,473.19,1738.49,668.87
2025-03-26,739.77,54.64,492.52,2056.45,331.03
2025-03-27,1248.99,49.86,515.92,1519.35,851.82
2025-03-28,1096.64,42.54,433.41,1547.60,1001.77
2025-03-29,1486.06,45.45,481.94,2089.97,1164.76
2025-03-30,808.41,41.07,502.78,2048.13,679.39
2025-03-31,788.88,60.65,463.33,1595.16,1153.85
2025-04-01,777.94,43.25,485.24,2571.54,829.25
2025-04-02,677.69,49.87,456.12,2307.86,995.46
2025-04-03,990.04,51.53,543.37,1772.87,1465.66
2025-04-04,816.07,46.59,520.19,1820.68,518.80
2025-04-05,681.53,56.92,527.25,2150.43,601.77
2025-04-06,996.14,47.60,558.02,1697.01,517.36
2025-04-07,745.85,43.93,552.42,1846.92,729.18
2025-04-08,1383.67,50.52,562.26,1127.39,538.00
2025-04-09,1170.72,47.50,453.73,1658.14,383.96
2025-04-10,522.45,55.59,523.03,2152.14,1156.22
2025-04-11,465.50,39.24,476.79,1410.01,988.01
2025-04-12,1053.35,47.17,601.17,1293.27,1090.80
2025-04-13,896.65,46.46,527.82,1540.75,831.48
2025-04-14,1016.01,49.52,543.73,1816.87,971.31
2025-04-15,1294.78,43.61,524.95,1857.99,1241.71
2025-04-16,1086.32,50.46,475.85,1721.28,686.47
2025-04-17,1272.40,53.61,455.04,1772.51,954.95
2025-04-18,1132.35,49.31,472.70,2270.61,839.25
2025-04-19,1212.98,47.85,505.00,2037.04,305.25
2025-04-20,1021.14,38.37,456.11,1921.55,680.90
2025-04-21,696.68,46.74,526.93,2314.53,1051.43
2025-04-22,899.11,55.63,428.08,2691.65,1013.55
2025-04-23,841.05,47.18,502.53,2058.57,1097.04
2025-04-24,863.16,49.25,453.57,2542.23,685.60
2025-04-25,950.89,58.36,507.63,2134.49,1444.55
2025-04-26,1031.35,54.06,541.21,1675.28,739.72
2025-04-27,764.72,62.05,548.34,1155.02,766.86
2025-04-28,702.12,57.77,555.76,1679.15,1242.92
2025-04-29,1357.32,53.52,527.15,2548.91,708.46
2025-04-30,1205.85,56.94,548.99,2292.00,1088.78
2025-05-01,775.93,48.63,488.99,1496.89,1149.73
2025-05-02,1184.47,62.87,527.7,2285.99,1023.38
2025-05-03,1406.89,54.44,513.06,2231.22,723.38
2025-05-04,824.14,38.82,499.79,2021.5,815.56
2025-05-05,1290.78,50.88,441.24,1840.37,387.16
2025-05-06,874.29,53.8,484.44,2522.89,779.32
2025-05-07,624.58,44.25,488.17,1436.61,675.29
2025-05-08,1443.86,48.69,362.95,2190.41,650.51
2025-05-09,1210.28,47.54,461.68,1164.05,999.15
2025-05-10,1089.34,42.75,563.73,1939.25,1348.55
2025-05-11,918.92,58.6,446.74,1771.6,996.15
2025-05-12,976.83,44.19,493.76,1090.53,688.98
2025-05-13,926.34,50.44,464.8,1872.34,283.33
2025-05-14,742.91,53.3,548.1,1761.95,654.32
2025-05-15,976.8,56.81,482.92,1922.64,1015.82
2025-05-16,696.79,57.36,421.74,2132.98,1278.23
2025-05-17,1424.66,49.03,422.36,2580.34,694.3
2025-05-18,933.29,43.66,518.26,1396.81,1118.11
2025-05-19,1370.62,46.15,358.74,1448.58,1150.82
2025-05-20,746.82,49.34,472.01,1573.38,870.1
2025-05-21,1072.57,54.65,576.84,2203.58,314.69
2025-05-22,995.21,43.89,514.3,1688.1,1128.93
2025-05-23,946.54,61.62,522.3,1642.08,782.7
2025-05-24,1204.37,54.12,445.01,2162.9,488.52
2025-05-25,982.24,50.91,509.08,1656.67,861.23
2025-05-26,1372.18,48.54,553.91,2581.25,1245.97
2025-05-27,832.88,46.73,504.29,2134.74,694.82
2025-05-28,1051.34,45.71,560.29,2310.62,351.56
2025-05-29,857.27,51.2,525.33,2452.61,803.09
2025-05-30,1002.57,51.95,422.61,2556.12,952.65
2025-05-31,1452.53,46.09,580.27,2064.68,879.17
2025-06-01,1010.63,50.94,533.01,3175.32,744.21
2025-06-02,656.84,48.84,476.88,1576.31,1099.72
2025-06-03,1109.83,45.06,467.05,2329.31,999.15
2025-06-04,959.31,59.86,454.16,2359.45,1292.9
2025-06-05,1243.93,54.18,472.64,1494.04,728.43
2025-06-06,827.1,48.66,476.6,1172.03,587.08
2025-06-07,861.09,45.59,490.28,1932.19,1385.71
2025-06-08,1076.72,51.89,567.51,2485.3,828.99
2025-06-09,1235.73,55.87,474.62,1906.15,1454.89
2025-06-10,849.66,44.81,468.81,1527.87,631.95
2025-06-11,825.08,53.14,502.74,1705.03,771.59
2025-06-12,662.98,58.05,432.84,2142.43,560.76
2025-06-13,1176.69,42.72,591.15,2092.18,1163.26
2025-06-14,1296.9,47.01,489.46,1256.68,1057.59
2025-06-15,911.86,55.83,563.14,989.98,924.52
2025-06-16,520,49.43,425.65,1526.69,706.43
2025-06-17,987.42,44.09,534.68,2219.58,1185.74
2025-06-18,1116.8,44.86,516.1,2504.34,1032.75
2025-06-19,784.72,54.32,535.84,1939.91,756.38
2025-06-20,907.82,45.91,563.39,1700.71,639.2
2025-06-21,1355.99,46.68,512.04,2042.72,906.31
2025-06-22,805.49,50.5,641.16,2514.68,1004.4
2025-06-23,784.93,46.01,429.47,1564.77,1036.41
2025-06-24,1056.19,44.58,475.18,2479.6,839.15
2025-06-25,1217.42,48.5,554.97,2230.64,918.37
2025-06-26,1095.99,54.08,602.27,2072.29,1217.44
2025-06-27,1130.73,47.77,509.97,1931.89,1006.09
2025-06-28,1214.56,54.54,432.87,1763.27,872.81
2025-06-29,1175.69,59.2,516.13,2578.1,378.83
2025-06-30,1023.9,51.08,474.35,1123.45,1118.19
2025-07-01,1114.67,46.12,512.92,1964.88,1062.29
2025-07-02,1117.03,51.18,496.2,510.34,853.4
2025-07-03,872.16,60.63,466.64,2393.23,1103.68
2025-07-04,978.9,58.2,490.56,1476.69,1320.76
2025-07-05,1003.61,54.29,486.06,2629.78,1036.37
2025-07-06,1074.49,49.74,525.18,1686.91,673.65
2025-07-07,1407.49,52.55,488.4,2604.17,1274.36
2025-07-08,1343.83,46.04,530.33,1887.71,822.89
2025-07-09,1042.99,45.42,600.59,2139.48,991.7
2025-07-10,1207.02,57.54,534.59,1328.67,831.42
2025-07-11,1397.15,55.35,506.43,2339.04,1194.66
2025-07-12,1030.76,44.35,493.77,2332.93,1065.36
2025-07-13,1336.09,46.51,493.58,1854.13,778.85
2025-07-14,1079.06,52.65,428.25,1519.9,456.04
2025-07-15,1404.04,49.47,543.58,2224.92,1051.43
2025-07-16,1283.09,54.05,499.12,1308.12,722.71
2025-07-17,1078.01,43.39,461.92,1263.99,1232.58
2025-07-18,995.2,55.34,503.77,2295.91,628.49
2025-07-19,1064.17,56.76,480.9,1458.32,1284.5
2025-07-20,1619.58,51.07,501.59,2476.68,852.95
2025-07-21,894.72,55.47,413.16,2278.95,1204.33
2025-07-22,1308.27,57.83,407.35,1650.42,1089.4
2025-07-23,1011.47,55.56,542.12,1914.95,1250.52
2025-07-24,919.62,45.75,502.95,1619.14,1094.38
2025-07-25,1077.83,43.37,479.85,655.92,997.38
2025-07-26,924.7,56.32,504.72,2547.11,518.66
2025-07-27,839.44,53.98,562.19,2222.36,1091.15
2025-07-28,1077.34,50.23,502.35,1300.93,903.1
2025-07-29,1147.07,52.88,510.33,2036.15,699.04
2025-07-30,1372.84,50.17,505.13,1840.3,1114.41
2025-07-31,1193.39,49.83,494.32,2759.42,555.75
2025-08-01,991.82,47.75,422.34,2907.51,1094
2025-08-02,640.19,52.19,506.14,2066.87,839.58
2025-08-03,885.63,58.23,495.78,2765.62,633.22
2025-08-04,834.19,56.44,447.2,2286.97,674.08
2025-08-05,1219.45,47.82,460.56,2972.52,37.68
2025-08-06,1138.35,47.43,418.01,1061.4,1306.92
2025-08-07,1432.84,48.35,528.8,2175.78,596.71
2025-08-08,766.84,52.57,468.27,1741.81,553.92
2025-08-09,812.07,46.79,485.03,992.38,565.52
2025-08-10,1231.04,56.6,489.86,2511.06,1278.81
2025-08-11,1206.05,51.57,499.18,1783.18,806.17
2025-08-12,722.57,45.75,542.63,2309.29,716.78
2025-08-13,1175.42,47.16,485.38,2196.5,820.06
2025-08-14,978.08,53.32,551.58,1955.56,825.31
2025-08-15,1307.3,44.83,395.96,992.06,1102.85
2025-08-16,1167.44,55.48,491.03,1860.35,702.61
2025-08-17,1141.14,50.56,559.22,1986.06,1132.03
2025-08-18,788.62,44.13,551.89,1484.64,671.54
2025-08-19,990.21,57.39,479.64,2493.93,739.68
2025-08-20,987.25,52.9,485.84,1521.8,852.63
2025-08-21,911.9,50.51,493.98,2046.04,1176.83
2025-08-22,1036.38,52.44,494.84,1598.25,1093.05
2025-08-23,732.81,41.69,526.33,1392.4,1093.24
2025-08-24,910.7,55.99,533.5,1677,1016.27
2025-08-25,570.21,42.79,563.6,1124.57,800.49
2025-08-26,1233.71,57.31,474.81,1911.88,1258.48
2025-08-27,838.14,52.24,474.17,1692.2,848.31
2025-08-28,1389.25,42.66,548.61,2250.63,904.17
2025-08-29,983.17,47.19,495.37,1320.55,1450.31
2025-08-30,1083.22,48.88,563.41,2674.37,1142.17
2025-08-31,1133.82,46.71,562.23,2235.83,1316.18
2025-09-01,1215.3,51.5,555.75,1993.53,1415.49
2025-09-02,1152.96,45.14,550.85,2108.47,545.86
