id,item,price,magical_power,quality,in_stock,found_in
1,amulet,915,402.961,9,True,dungeon
2,staff,2550,933.978,2,False,dungeon
3,potion,62.2,129.897,5,True,city
4,amulet,1085,449.555,0,False,village
5,cloak,563.5,238.023,10,True,dungeon
6,amulet,1176,527.159,9,True,city
7,cloak,570,234.514,8,True,
8,scroll,1129.5,441.852,8,True,dungeon
9,scroll,1026.9,444.287,7,False,
10,potion,57.95,125.3055,5,True,city
11,amulet,969,436.079,0,True,village
12,potion,63.85,138.6225,8,True,city
13,cloak,520,315.038,0,True,dungeon
14,cloak,647.5,349.955,2,True,
15,potion,45.6,165.172,9,True,dungeon
16,staff,2192,839.541,8,False,dungeon
17,amulet,979,446.996,7,True,village
18,amulet,1018,409.053,7,True,village
19,scroll,990.9,441.966,9,True,dungeon
20,cloak,469.5,202.933,8,False,dungeon
21,amulet,905,436.149,3,True,
22,cloak,541.5,315.641,4,True,dungeon
23,potion,52.2,121.108,7,True,dungeon
24,scroll,1090.8,397.914,4,True,dungeon
25,potion,50.35,136.6665,6,False,city
26,staff,2294,909.123,3,True,village
27,potion,46.1,149.447,2,True,dungeon
28,potion,57,89.686,4,True,village
29,amulet,1004,407.467,6,True,dungeon
30,potion,64.7,130.214,0,False,dungeon
31,scroll,1091.7,438.07,7,True,dungeon
32,cloak,638,270.611,5,True,dungeon
33,staff,1838,703.511,1,True,
34,potion,62.55,150.6985,6,False,dungeon
35,staff,1990,734.896,5,True,dungeon
36,cloak,578,291.907,10,True,village
37,staff,1814,759.101,5,True,dungeon
38,potion,45.6,172.997,2,True,dungeon
39,potion,62.6,146.594,4,True,dungeon
40,staff,2422,876.143,4,True,village
41,staff,2310,818.506,7,True,city
42,potion,50.95,75.5445,6,True,dungeon
43,amulet,1076,465.399,9,True,dungeon
44,cloak,531.5,282.876,4,True,village
45,amulet,959,446.175,10,True,city
46,cloak,459,274.215,2,True,
47,potion,51.55,122.1805,10,True,dungeon
48,scroll,1086.3,462.653,4,False,dungeon
49,amulet,1091,425.444,3,True,village
50,potion,48.1,147.837,0,True,dungeon
51,potion,62.4,70.574,7,True,village
52,scroll,1026.9,420.142,8,False,
53,cloak,484,285.785,7,True,dungeon
54,scroll,853.2,359.451,1,True,village
55,potion,59.95,146.1505,6,True,dungeon
56,potion,48.6,119.455,0,False,village
57,staff,2548,957.733,6,True,city
58,scroll,995.4,409.552,1,True,village
59,staff,2168,817.525,2,True,
60,cloak,573.5,285.5,7,True,dungeon
61,amulet,977,404.93,9,True,
62,cloak,648,274.939,7,True,dungeon
63,scroll,815.4,400.515,2,True,city
64,cloak,641,299.1,1,True,dungeon
65,scroll,1018.8,417.66,6,True,dungeon
66,potion,59.35,159.4005,7,True,dungeon
67,staff,2144,789.955,9,False,
68,amulet,1239,502.722,3,True,dungeon
69,cloak,599.5,253.024,7,True,dungeon
70,potion,63.6,140.785,6,True,dungeon
71,amulet,1266,500.563,0,True,city
72,cloak,568,298.494,0,True,dungeon
73,cloak,524.5,255.003,5,True,dungeon
74,cloak,536.5,306.159,2,True,
75,amulet,961,368.906,4,True,
76,staff,2282,847.628,9,True,
77,cloak,519.5,269.387,1,True,city
78,potion,46.8,75.809,10,True,dungeon
79,scroll,947.7,366.036,10,True,dungeon
80,amulet,1270,510.085,3,True,dungeon
81,cloak,485.5,207.504,6,True,
82,potion,61,135.363,8,True,dungeon
83,cloak,483.5,257.898,4,True,city
84,potion,45.2,155.31,2,True,dungeon
85,scroll,969.3,496.866,0,True,city
86,potion,51.25,86.2225,9,True,village
87,cloak,537,309.853,5,True,city
88,amulet,1121,468.721,4,False,dungeon
89,scroll,1008,424.76,3,True,city
90,potion,64.35,93.7195,3,True,dungeon
91,scroll,1133.1,508.305,9,True,village
92,scroll,969.3,452.87,8,False,dungeon
93,scroll,900,376.97,10,True,dungeon
94,staff,1986,730.745,2,False,dungeon
95,staff,1814,706.639,3,True,dungeon
96,staff,2074,764.908,2,True,village
97,staff,1966,761.466,10,True,village
98,potion,60.35,131.8215,6,True,
99,amulet,1003,485.122,5,False,
100,potion,51.9,128.632,2,True,dungeon
101,cloak,614.5,297.563,10,True,city
